过河拆桥	出牌阶段，对除你以外任意一名角色使用。弃掉该角色的一张牌。
借刀杀人	出牌阶段，对除你外，装备区里有武器牌的一名角色使用。该角色需对其攻击范围内，你指定的另一名角色使用一张【杀】，否则将武器交给你。
决斗		出牌阶段，对除你以外任意一名角色使用。由该角色开始，轮流打出一张【杀】。首先不出【杀】的一方受到 1 点伤害。
乐不思蜀	出牌阶段，对除你外任意一名角色使用。将【乐不思蜀】横置于该角色的判定区里，若判定结果不为♥，则跳过该角色出牌阶段。
南蛮入侵	出牌阶段，对除你以外的所有角色使用。目标角色需一次打出一张【杀】，否则该角色受到 1 点伤害。
闪电		出牌阶段，对你使用。将【闪电】横置于你的判定区里。若判定结果为♠ 2~9，则你受到 3 点伤害，弃置它。若判定结果不在此范围，则将之移动到下家的判定区里。
顺手牵羊	出牌阶段，对除你以外，与你距离 1 以内的一名角色使用。获得该角色的一张牌。
桃园结义	出牌阶段，对所有角色使用。各回复 1 点体力。
万箭齐发	出牌阶段，对除你以外的所有角色使用。目标角色需依次打出一张【闪】，否则该角色受到 1 点伤害。
无懈可击	抵消任意锦囊（生效时）将对任意一名玩家造成的影响。
无中生有	出牌阶段，对你自己使用。摸两张牌。
五谷丰登	出牌阶段，对所有角色使用。你从牌堆亮出等同于现存角色数量的牌，目标角色依次选择并获得其中的一张。
八卦阵		当自己需出【闪】时，可判定，若为红色花色，则等效于出了一张【闪】。
仁王盾		锁定技，黑色的【杀】对你无效。
雌雄双股剑	用【杀】攻击异性角色时，对方首先须选择：1.弃掉一张手牌 2.让你摸一张牌
方天画戟	当打出的【杀】是最后一张手牌时，可攻击最多三名攻击范围内的玩家。
贯石斧		用【杀】攻击被对方闪避后，可弃两张牌强制命中。
麒麟弓		用【杀】攻击命中后，对方弃掉一匹已装备的马。
青釭剑		用此武器攻击，可无视对方的防具。
青龙偃月刀	用【杀】攻击时，只要对方出【闪】闪避，便可再出【杀】继续攻击。
丈八蛇矛	可用任意两张手牌当【杀】使用。
诸葛连弩	一回合内可以出任意张【杀】。
寒冰剑		用【杀】攻击成功后，可选择不造成对方的伤害，而是弃掉对方两张牌。
