奸雄	你可以立即获得对你造成伤害的牌。
护驾	主公技，魏国势力角色可以替你出【闪】。
天妒	在你的判定牌生效后，你可以立即获得它。
遗计	你每受到 1 点伤害，可摸两张牌，将其中一张交给任意一名角色，然后将另一张交给任意一名角色。
反馈	你可以立即从对你造成伤害的来源处获得一张牌。
鬼才	在任意角色的判定牌生效前，你可以打出一张手牌代替之。
刚烈	你每受到一次伤害，可进行一次判定：若结果不为♥，则目标来源必须进行二选一：弃两张手牌或受到你对其造成的 1 点伤害。
裸衣	摸牌阶段，你可以少摸一张牌；若如此做，该回合的出牌阶段，你使用【杀】或【决斗】（你为伤害来源时）造成的伤害+1。
突袭	摸牌阶段，你可以放弃摸牌，然后从至多两名（至少一名）角色的手牌里各的抽取一张牌。
倾国	你可以将你的♠或♣手牌当【闪】使用或打出。
洛神	回合开始阶段，你可以进行判定：若为♠或♣，立即获得此牌，并可以再次使用洛神——如此反复，直到出现♥或♦为止。
龙胆	你可以将你手牌的【杀】当【闪】、【闪】当【杀】使用或打出。
仁德	出牌阶段，你可以将任意数量的手牌以任意分配方式交给其他角色，若你一共给出的牌数不少于于两张时，你回复 1 点体力。
激将	主公技，蜀势力角色可以替你出【杀】。
武圣	你可以将你的任意一张♥或♦牌当【杀】使用或打出。
集智	每当你使用一张非延时类锦囊时，（在它结算之前）你可以立即摸一张牌。
奇才	你使用任何锦囊无距离限制。
马术	锁定技，当你计算与其他角色的距离时，始终 -1。
铁骑	当你使用【杀】指定一名角色为目标后，你可以进行判定，若结果为♥或♦，此【杀】不可被闪避。
咆哮	出牌阶段，你可以使个数量的【杀】。
观星	回合开始阶段，你可以观看牌堆顶的X张牌（X为存活角色的数量且最多为 5），将其中任意顺序置于牌堆顶，其余以任意顺序置于牌堆底。
空城	锁定技，当你没有手牌时，你不能成为【杀】或【决斗】的目标。
国色	出牌阶段，你可以将你的任意♦花色的牌当【乐不思蜀】使用。
流离	当你成为【杀】的目标时，你可以弃一张牌，将此【杀】转移给你攻击范围内的另一名角色。（该角色不得是【杀】的使用者）。
奇袭	出牌阶段，你可以将你的任意一张♠或♣牌当【过河拆桥】使用。
苦肉	出牌阶段，你可以失去一点体力，然后摸两张牌。每回合中，你可以多次使用苦肉。
谦逊	锁定技，你不能成为【顺手牵羊】和【乐不思蜀】的目标。
连营	每当你失去最后一张手牌时，可立即摸一张牌。
克己	若你于出牌阶段未使用或打出过任何一张【杀】，你可以跳过此回合的弃牌阶段。
制衡	出牌阶段，你可以弃掉任意数量的牌，然后摸取等量的牌，每回合限用一次。
救援	主公技，锁定技，其他吴势力角色在你濒死状态下对你使用【桃】时，你额外回复 1 点体力。
结姻	出牌阶段，你可以弃两张手牌并指定一名受伤的男性角色：你和该角色各回复 1 点体力。每回合限用一次。
枭姬	当你失去一张装备区里的牌时，你可以立即摸两张牌。
英姿	摸牌阶段，你可以额外摸一张牌。
反间	出牌阶段，你可以指定另一名角色选择一种花色，抽取你的一张手牌并亮出，若此牌与所选花色不吻合，则你对该角色造成 1 点伤害。然后不论结果，该角色都获得此牌。每回合限用一次。
离间	出牌阶段，你可以弃一张牌并选择两名男性角色。若如此做，视为其中一名角色对另一名角色使用一张【决斗】（此【决斗】不能被【无懈可击】响应）。每回合限用一次。
闭月	回合结束阶段，你可以摸一张牌。
急救	你的回合外，你可以将你的任意♥或♦牌当【桃】使用。
青囊	出牌阶段，你可以主动弃掉一张手牌，令任一角色回复 1 点体力。每回合限用一次。
无双	锁定技，你使用【杀】时，目标角色需连续使用两张【闪】才能抵消；与你进行【决斗】的角色每次需连续打出两张【杀】。
